Station,Date,Tmax,Tmin,Tavg,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,year,day,month,snow,smoke,fog,drizzle,rain,mist,storm,h_fog,haze,week,tavg_lag_1,tavg_lag_3,tavg_lag_7,preciptotal_lag_1,preciptotal_lag_3,preciptotal_lag_7,sunrise_clean,sunset_clean,DaylightHrs,DaylightHrs_lag_1,DaylightHrs_lag_3,DaylightHrs_lag_7,relhum,relhum_lag_1,relhum_lag_3,relhum_lag_7
1,2007-05-01,83,50,67,51,56,0,2,448,1849,0.0,0.0,29.1,29.82,1.7,27,9.2,2007,1,May,0,0,0,0,0,0,0,0,0,18,,,,,,,1900-01-01 04:48:00,1900-01-01 18:49:00,14,,,,56.46322682680079,,,
2,2007-05-01,84,52,68,51,57,0,3,448,1849,0.0,0.0,29.18,29.82,2.7,25,9.6,2007,1,May,0,0,0,0,0,0,0,0,0,18,67.0,,,0.0,,,1900-01-01 04:48:00,1900-01-01 18:49:00,14,14.0,,,54.553126557503305,56.46322682680079,,
1,2007-05-02,59,42,51,42,47,14,0,447,1850,0.0,0.0,29.38,30.09,13.0,4,13.4,2007,2,May,0,0,0,0,0,1,0,0,0,18,68.0,,,0.0,,,1900-01-01 04:47:00,1900-01-01 18:50:00,14,14.0,,,71.18619882233361,54.553126557503305,,
2,2007-05-02,60,43,52,42,47,13,0,447,1850,0.0,0.0,29.44,30.08,13.3,2,13.4,2007,2,May,0,0,0,0,0,1,0,0,1,18,51.0,67.0,,0.0,0.0,,1900-01-01 04:47:00,1900-01-01 18:50:00,14,14.0,14.0,,68.60591062323309,71.18619882233361,56.46322682680079,
1,2007-05-03,66,46,56,40,48,9,0,446,1851,0.0,0.0,29.39,30.12,11.7,7,11.9,2007,3,May,0,0,0,0,0,0,0,0,0,18,52.0,68.0,,0.0,0.0,,1900-01-01 04:46:00,1900-01-01 18:51:00,14,14.0,14.0,,54.86626654204934,68.60591062323309,54.553126557503305,
2,2007-05-03,67,48,58,40,50,7,0,446,1851,0.0,0.0,29.46,30.12,12.9,6,13.2,2007,3,May,0,0,0,0,0,0,0,0,1,18,56.0,51.0,,0.0,0.0,,1900-01-01 04:46:00,1900-01-01 18:51:00,14,14.0,14.0,,51.05178978064557,54.86626654204934,71.18619882233361,
1,2007-05-04,66,49,58,41,50,7,0,444,1852,0.0,0.001,29.31,30.05,10.4,8,10.8,2007,4,May,0,0,0,0,0,0,0,0,0,18,58.0,52.0,,0.0,0.0,,1900-01-01 04:44:00,1900-01-01 18:52:00,14,14.0,14.0,,53.07180199153853,51.05178978064557,68.60591062323309,
2,2007-05-04,78,51,64,42,50,1,0,444,1852,0.0,0.0,29.36,30.04,10.1,7,10.4,2007,4,May,0,0,0,0,0,0,0,0,0,18,58.0,56.0,67.0,0.001,0.0,0.0,1900-01-01 04:44:00,1900-01-01 18:52:00,14,14.0,14.0,14.0,44.605627905511625,53.07180199153853,54.86626654204934,56.46322682680079
1,2007-05-05,66,53,60,38,49,5,0,443,1853,0.0,0.001,29.4,30.1,11.7,7,12.0,2007,5,May,0,0,0,0,0,0,0,0,0,18,64.0,58.0,68.0,0.0,0.0,0.0,1900-01-01 04:43:00,1900-01-01 18:53:00,14,14.0,14.0,14.0,43.95945962327528,44.605627905511625,51.05178978064557,54.553126557503305
2,2007-05-05,66,54,60,39,50,5,0,443,1853,0.0,0.001,29.46,30.09,11.2,7,11.5,2007,5,May,0,0,0,0,0,0,0,0,0,18,60.0,58.0,51.0,0.001,0.001,0.0,1900-01-01 04:43:00,1900-01-01 18:53:00,14,14.0,14.0,14.0,45.71521445752223,43.95945962327528,53.07180199153853,71.18619882233361
1,2007-05-06,68,49,59,30,46,6,0,442,1855,0.0,0.0,29.57,30.29,14.4,11,15.0,2007,6,May,0,0,0,0,0,0,0,0,0,18,60.0,64.0,52.0,0.001,0.0,0.0,1900-01-01 04:42:00,1900-01-01 18:55:00,14,14.0,14.0,14.0,33.08150276308397,45.71521445752223,44.605627905511625,68.60591062323309
2,2007-05-06,68,52,60,30,46,5,0,442,1855,0.0,0.0,29.62,30.28,13.8,10,14.5,2007,6,May,0,0,0,0,0,0,0,0,0,18,59.0,60.0,56.0,0.0,0.001,0.0,1900-01-01 04:42:00,1900-01-01 18:55:00,14,14.0,14.0,14.0,31.923419720976348,33.08150276308397,43.95945962327528,54.86626654204934
1,2007-05-07,83,47,65,41,54,0,0,441,1856,0.0,0.001,29.38,30.12,8.6,18,10.5,2007,7,May,0,0,0,0,0,0,0,0,0,19,60.0,60.0,58.0,0.0,0.001,0.0,1900-01-01 04:41:00,1900-01-01 18:56:00,14,14.0,14.0,14.0,41.44501440351339,31.923419720976348,45.71521445752223,51.05178978064557
2,2007-05-07,84,50,67,39,53,0,2,441,1856,0.0,0.0,29.44,30.12,8.5,17,9.9,2007,7,May,0,0,0,0,0,0,0,0,0,19,65.0,59.0,58.0,0.001,0.0,0.001,1900-01-01 04:41:00,1900-01-01 18:56:00,14,14.0,14.0,14.0,35.77687317723072,41.44501440351339,33.08150276308397,53.07180199153853
1,2007-05-08,82,54,68,58,62,0,3,439,1857,0.0,0.0,29.29,30.03,2.7,11,5.8,2007,8,May,0,0,0,0,0,1,0,0,0,19,67.0,60.0,64.0,0.0,0.0,0.0,1900-01-01 04:39:00,1900-01-01 18:57:00,14,14.0,14.0,14.0,70.4004981338504,35.77687317723072,31.923419720976348,44.605627905511625
2,2007-05-08,80,60,70,57,63,0,5,439,1857,0.0,0.001,29.36,30.02,2.5,8,5.4,2007,8,May,0,0,0,0,0,0,0,0,1,19,68.0,65.0,60.0,0.0,0.001,0.001,1900-01-01 04:39:00,1900-01-01 18:57:00,14,14.0,14.0,14.0,63.42543664464111,70.4004981338504,41.44501440351339,43.95945962327528
1,2007-05-09,77,61,69,59,63,0,4,438,1858,0.0,0.13,29.21,29.94,3.9,9,6.2,2007,9,May,0,0,0,0,0,1,0,0,1,19,70.0,67.0,60.0,0.001,0.0,0.001,1900-01-01 04:38:00,1900-01-01 18:58:00,14,14.0,14.0,14.0,70.50793664052912,63.42543664464111,35.77687317723072,45.71521445752223
2,2007-05-09,76,63,70,60,63,0,5,438,1858,0.0,0.02,29.28,29.93,3.9,7,5.9,2007,9,May,0,0,0,0,0,1,0,0,1,19,69.0,68.0,59.0,0.13,0.0,0.0,1900-01-01 04:38:00,1900-01-01 18:58:00,14,14.0,14.0,14.0,70.61483878390642,70.50793664052912,70.4004981338504,33.08150276308397
1,2007-05-10,84,56,70,52,60,0,5,437,1859,0.0,0.0,29.2,29.92,0.7,17,4.1,2007,10,May,0,0,0,0,0,1,0,0,0,19,70.0,70.0,60.0,0.02,0.001,0.0,1900-01-01 04:37:00,1900-01-01 18:59:00,14,14.0,14.0,14.0,52.863305538608486,70.61483878390642,63.42543664464111,31.923419720976348
2,2007-05-10,83,59,71,52,61,0,6,437,1859,0.0,0.0,29.26,29.91,2.0,9,3.9,2007,10,May,0,0,0,0,0,1,0,0,1,19,70.0,69.0,65.0,0.0,0.13,0.001,1900-01-01 04:37:00,1900-01-01 18:59:00,14,14.0,14.0,14.0,51.09753379016806,52.863305538608486,70.50793664052912,41.44501440351339
1,2007-05-11,70,51,61,42,51,4,0,436,1900,0.0,0.0,29.33,30.04,11.3,3,12.9,2007,11,May,0,0,0,0,0,0,0,0,0,19,71.0,70.0,67.0,0.0,0.02,0.0,1900-01-01 04:36:00,1900-01-01 19:00:00,14,14.0,14.0,14.0,49.56918794795837,51.09753379016806,70.61483878390642,35.77687317723072
2,2007-05-11,73,49,61,44,51,4,0,436,1900,0.0,0.0,29.39,30.03,11.7,36,12.8,2007,11,May,0,0,0,0,0,0,0,0,0,19,61.0,70.0,68.0,0.0,0.0,0.0,1900-01-01 04:36:00,1900-01-01 19:00:00,14,14.0,14.0,14.0,53.52229605687269,49.56918794795837,52.863305538608486,70.4004981338504
1,2007-05-12,64,46,55,36,46,10,0,435,1901,0.0,0.0,29.49,30.2,12.4,3,12.9,2007,12,May,0,0,0,0,0,0,0,0,0,19,61.0,71.0,70.0,0.0,0.0,0.001,1900-01-01 04:35:00,1900-01-01 19:01:00,14,14.0,14.0,14.0,48.62558270638308,53.52229605687269,51.09753379016806,63.42543664464111
2,2007-05-12,65,47,56,37,46,9,0,435,1901,0.0,0.0,29.54,30.19,12.7,1,13.0,2007,12,May,0,0,0,0,0,0,0,0,0,19,55.0,61.0,69.0,0.0,0.0,0.13,1900-01-01 04:35:00,1900-01-01 19:01:00,14,14.0,14.0,14.0,48.78424849497453,48.62558270638308,49.56918794795837,70.50793664052912
1,2007-05-13,69,43,56,33,46,9,0,434,1902,0.0,0.0,29.49,30.24,6.6,14,8.1,2007,13,May,0,0,0,0,0,0,0,0,0,19,56.0,61.0,70.0,0.0,0.0,0.02,1900-01-01 04:34:00,1900-01-01 19:02:00,14,14.0,14.0,14.0,41.60396786757752,48.78424849497453,53.52229605687269,70.61483878390642
