Date,Trap,Latitude,Longitude,WnvPresent,year_month,NumMosquitos,station,carrier,jul,jun,may,oct,sep,species_pipiens,species_pipiens/restuans,species_restuans,species_salinarius,species_tarsalis,species_territans,species_unspecified_culex,Station,Tmax,Tmin,Tavg,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,year_y,day,month,drizzle,smoke,storm,snow,mist,rain,h_fog,fog,haze,week_y,tavg_lag_1,tavg_lag_3,tavg_lag_7,preciptotal_lag_1,preciptotal_lag_3,preciptotal_lag_7,sunrise_clean,sunset_clean,DaylightHrs,DaylightHrs_lag_1,DaylightHrs_lag_3,DaylightHrs_lag_7,relhum,relhum_lag_1,relhum_lag_3,relhum_lag_7
2013-06-07,T018,42.010412,-87.66214000000001,0,"(2013, 6)",1,1,1,0,1,0,0,0,0,1,0,0,0,0,0.0,1,68,52,60,45,52,5,0,417,1924,0.0,0.001,29.2,29.92,9.5,3,9.9,2013,7,Jun,0,0,0,0,0,0,0,0,0,23,60.0,66.0,56.0,0.06,0.001,0.0,1900-01-01 04:17:00,1900-01-01 19:24:00,15,15.0,15.0,15.0,57.60907414618021,64.51902096650731,48.4748495062278,54.86626654204934
2013-06-07,T018,42.010412,-87.66214000000001,0,"(2013, 6)",1,1,1,0,1,0,0,0,0,0,1,0,0,0,0.0,1,68,52,60,45,52,5,0,417,1924,0.0,0.001,29.2,29.92,9.5,3,9.9,2013,7,Jun,0,0,0,0,0,0,0,0,0,23,60.0,66.0,56.0,0.06,0.001,0.0,1900-01-01 04:17:00,1900-01-01 19:24:00,15,15.0,15.0,15.0,57.60907414618021,64.51902096650731,48.4748495062278,54.86626654204934
2013-06-07,T228,41.951865999999995,-87.72505699999999,0,"(2013, 6)",1,1,1,0,1,0,0,0,0,1,0,0,0,0,0.0,1,68,52,60,45,52,5,0,417,1924,0.0,0.001,29.2,29.92,9.5,3,9.9,2013,7,Jun,0,0,0,0,0,0,0,0,0,23,60.0,66.0,56.0,0.06,0.001,0.0,1900-01-01 04:17:00,1900-01-01 19:24:00,15,15.0,15.0,15.0,57.60907414618021,64.51902096650731,48.4748495062278,54.86626654204934
2013-06-07,T228,41.951865999999995,-87.72505699999999,0,"(2013, 6)",4,1,1,0,1,0,0,0,0,0,1,0,0,0,0.0,1,68,52,60,45,52,5,0,417,1924,0.0,0.001,29.2,29.92,9.5,3,9.9,2013,7,Jun,0,0,0,0,0,0,0,0,0,23,60.0,66.0,56.0,0.06,0.001,0.0,1900-01-01 04:17:00,1900-01-01 19:24:00,15,15.0,15.0,15.0,57.60907414618021,64.51902096650731,48.4748495062278,54.86626654204934
2013-06-07,T002,41.95469,-87.800991,0,"(2013, 6)",19,1,1,0,1,0,0,0,0,0,1,0,0,0,0.0,1,68,52,60,45,52,5,0,417,1924,0.0,0.001,29.2,29.92,9.5,3,9.9,2013,7,Jun,0,0,0,0,0,0,0,0,0,23,60.0,66.0,56.0,0.06,0.001,0.0,1900-01-01 04:17:00,1900-01-01 19:24:00,15,15.0,15.0,15.0,57.60907414618021,64.51902096650731,48.4748495062278,54.86626654204934
2013-06-07,T223,41.973845000000004,-87.805059,0,"(2013, 6)",2,1,1,0,1,0,0,0,0,0,1,0,0,0,0.0,1,68,52,60,45,52,5,0,417,1924,0.0,0.001,29.2,29.92,9.5,3,9.9,2013,7,Jun,0,0,0,0,0,0,0,0,0,23,60.0,66.0,56.0,0.06,0.001,0.0,1900-01-01 04:17:00,1900-01-01 19:24:00,15,15.0,15.0,15.0,57.60907414618021,64.51902096650731,48.4748495062278,54.86626654204934
2013-06-07,T027,41.984809000000006,-87.728492,0,"(2013, 6)",1,1,1,0,1,0,0,0,0,1,0,0,0,0,0.0,1,68,52,60,45,52,5,0,417,1924,0.0,0.001,29.2,29.92,9.5,3,9.9,2013,7,Jun,0,0,0,0,0,0,0,0,0,23,60.0,66.0,56.0,0.06,0.001,0.0,1900-01-01 04:17:00,1900-01-01 19:24:00,15,15.0,15.0,15.0,57.60907414618021,64.51902096650731,48.4748495062278,54.86626654204934
2013-06-07,T028,41.986921,-87.689778,0,"(2013, 6)",4,1,1,0,1,0,0,0,0,0,1,0,0,0,0.0,1,68,52,60,45,52,5,0,417,1924,0.0,0.001,29.2,29.92,9.5,3,9.9,2013,7,Jun,0,0,0,0,0,0,0,0,0,23,60.0,66.0,56.0,0.06,0.001,0.0,1900-01-01 04:17:00,1900-01-01 19:24:00,15,15.0,15.0,15.0,57.60907414618021,64.51902096650731,48.4748495062278,54.86626654204934
2013-06-07,T012,41.991429,-87.747113,0,"(2013, 6)",10,1,1,0,1,0,0,0,0,1,0,0,0,0,0.0,1,68,52,60,45,52,5,0,417,1924,0.0,0.001,29.2,29.92,9.5,3,9.9,2013,7,Jun,0,0,0,0,0,0,0,0,0,23,60.0,66.0,56.0,0.06,0.001,0.0,1900-01-01 04:17:00,1900-01-01 19:24:00,15,15.0,15.0,15.0,57.60907414618021,64.51902096650731,48.4748495062278,54.86626654204934
2013-06-07,T012,41.991429,-87.747113,0,"(2013, 6)",8,1,1,0,1,0,0,0,0,0,1,0,0,0,0.0,1,68,52,60,45,52,5,0,417,1924,0.0,0.001,29.2,29.92,9.5,3,9.9,2013,7,Jun,0,0,0,0,0,0,0,0,0,23,60.0,66.0,56.0,0.06,0.001,0.0,1900-01-01 04:17:00,1900-01-01 19:24:00,15,15.0,15.0,15.0,57.60907414618021,64.51902096650731,48.4748495062278,54.86626654204934
