Date,Trap,Latitude,Longitude,WnvPresent,year_month,NumMosquitos,station,carrier,jul,jun,may,oct,sep,species_pipiens,species_pipiens/restuans,species_restuans,species_salinarius,species_tarsalis,species_territans,species_unspecified_culex,Station,Tmax,Tmin,Tavg,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,year_y,day,month,drizzle,smoke,storm,snow,mist,rain,h_fog,fog,haze,week_y,tavg_lag_1,tavg_lag_3,tavg_lag_7,preciptotal_lag_1,preciptotal_lag_3,preciptotal_lag_7,sunrise_clean,sunset_clean,DaylightHrs,DaylightHrs_lag_1,DaylightHrs_lag_3,DaylightHrs_lag_7,relhum,relhum_lag_1,relhum_lag_3,relhum_lag_7
2007-05-29,T002,41.95469,-87.800991,0,"(2007, 5)",1,1,1,0,0,1,0,0,0,1,0,0,0,0,0.0,1,88,60,74,58,65,0,9,421,1917,0.0,0.0,29.39,30.11,5.8,18,6.5,2007,29,May,0,0,0,0,1,0,0,0,1,22,65.0,67.0,62.0,0.0,0.08,0.09,1900-01-01 04:21:00,1900-01-01 19:17:00,14,14.0,14.0,14.0,57.44277945865901,56.178168248817556,52.41805396233515,55.746196185880706
2007-05-29,T002,41.95469,-87.800991,0,"(2007, 5)",1,1,1,0,0,1,0,0,0,0,1,0,0,0,0.0,1,88,60,74,58,65,0,9,421,1917,0.0,0.0,29.39,30.11,5.8,18,6.5,2007,29,May,0,0,0,0,1,0,0,0,1,22,65.0,67.0,62.0,0.0,0.08,0.09,1900-01-01 04:21:00,1900-01-01 19:17:00,14,14.0,14.0,14.0,57.44277945865901,56.178168248817556,52.41805396233515,55.746196185880706
2007-05-29,T007,41.994991,-87.769279,0,"(2007, 5)",1,1,1,0,0,1,0,0,0,0,1,0,0,0,0.0,1,88,60,74,58,65,0,9,421,1917,0.0,0.0,29.39,30.11,5.8,18,6.5,2007,29,May,0,0,0,0,1,0,0,0,1,22,65.0,67.0,62.0,0.0,0.08,0.09,1900-01-01 04:21:00,1900-01-01 19:17:00,14,14.0,14.0,14.0,57.44277945865901,56.178168248817556,52.41805396233515,55.746196185880706
2007-05-29,T143,41.999128999999996,-87.795585,0,"(2007, 5)",1,1,1,0,0,1,0,0,0,1,0,0,0,0,0.0,1,88,60,74,58,65,0,9,421,1917,0.0,0.0,29.39,30.11,5.8,18,6.5,2007,29,May,0,0,0,0,1,0,0,0,1,22,65.0,67.0,62.0,0.0,0.08,0.09,1900-01-01 04:21:00,1900-01-01 19:17:00,14,14.0,14.0,14.0,57.44277945865901,56.178168248817556,52.41805396233515,55.746196185880706
2007-05-29,T148,42.01743,-87.68776899999999,0,"(2007, 5)",1,1,1,0,0,1,0,0,0,1,0,0,0,0,0.0,1,88,60,74,58,65,0,9,421,1917,0.0,0.0,29.39,30.11,5.8,18,6.5,2007,29,May,0,0,0,0,1,0,0,0,1,22,65.0,67.0,62.0,0.0,0.08,0.09,1900-01-01 04:21:00,1900-01-01 19:17:00,14,14.0,14.0,14.0,57.44277945865901,56.178168248817556,52.41805396233515,55.746196185880706
2007-05-29,T015,41.974089,-87.824812,0,"(2007, 5)",1,1,1,0,0,1,0,0,0,1,0,0,0,0,0.0,1,88,60,74,58,65,0,9,421,1917,0.0,0.0,29.39,30.11,5.8,18,6.5,2007,29,May,0,0,0,0,1,0,0,0,1,22,65.0,67.0,62.0,0.0,0.08,0.09,1900-01-01 04:21:00,1900-01-01 19:17:00,14,14.0,14.0,14.0,57.44277945865901,56.178168248817556,52.41805396233515,55.746196185880706
2007-05-29,T015,41.974089,-87.824812,0,"(2007, 5)",4,1,1,0,0,1,0,0,0,0,1,0,0,0,0.0,1,88,60,74,58,65,0,9,421,1917,0.0,0.0,29.39,30.11,5.8,18,6.5,2007,29,May,0,0,0,0,1,0,0,0,1,22,65.0,67.0,62.0,0.0,0.08,0.09,1900-01-01 04:21:00,1900-01-01 19:17:00,14,14.0,14.0,14.0,57.44277945865901,56.178168248817556,52.41805396233515,55.746196185880706
2007-06-05,T149,41.994469,-87.667736,0,"(2007, 6)",1,1,1,0,1,0,0,0,0,1,0,0,0,0,0.0,1,64,47,56,48,51,9,0,417,1923,0.0,0.42,29.1,29.79,5.2,5,7.6,2007,5,Jun,0,0,0,0,1,0,0,0,0,23,64.0,71.0,77.0,0.31,0.32,0.21,1900-01-01 04:17:00,1900-01-01 19:23:00,15,15.0,15.0,15.0,74.47354810257994,78.00766416557157,68.25611970505065,62.079553251126654
2007-06-05,T150,42.006858,-87.675919,0,"(2007, 6)",2,1,1,0,1,0,0,0,0,0,1,0,0,0,0.0,1,64,47,56,48,51,9,0,417,1923,0.0,0.42,29.1,29.79,5.2,5,7.6,2007,5,Jun,0,0,0,0,1,0,0,0,0,23,64.0,71.0,77.0,0.31,0.32,0.21,1900-01-01 04:17:00,1900-01-01 19:23:00,15,15.0,15.0,15.0,74.47354810257994,78.00766416557157,68.25611970505065,62.079553251126654
2007-06-05,T011,41.944869,-87.832763,0,"(2007, 6)",1,1,1,0,1,0,0,0,0,0,1,0,0,0,0.0,1,64,47,56,48,51,9,0,417,1923,0.0,0.42,29.1,29.79,5.2,5,7.6,2007,5,Jun,0,0,0,0,1,0,0,0,0,23,64.0,71.0,77.0,0.31,0.32,0.21,1900-01-01 04:17:00,1900-01-01 19:23:00,15,15.0,15.0,15.0,74.47354810257994,78.00766416557157,68.25611970505065,62.079553251126654
